date,hour,u10,v10,blh,sp,tp,z,z850,z500,t500,t2m,t850,u850,v850,u500,v500
2025-01-03,01:00,1.4270697,-1.5825081,55.096924,99527.44,1.316021e-05,1411.3127,14000.089,54163.03,253.07262,277.71375,274.76642,7.7296476,1.8105059,38.271774,-9.7461605
2025-01-03,02:00,1.1988117,-2.1448078,66.52644,99529.75,1.3731669e-05,1411.3127,14000.924,54100.35,252.39279,277.5531,274.4748,6.294109,-2.339594,39.296143,-12.246627
2025-01-03,03:00,1.3282064,-1.1161633,56.05139,99522.31,5.817124e-06,1411.3127,14012.52,54063.555,251.96204,277.65173,274.82013,3.8679962,-5.66708,40.68773,-12.383959
2025-01-03,04:00,1.8168908,-0.71329117,65.23427,99489.625,9.313226e-10,1411.3127,13998.0,53991.754,251.8712,277.1754,275.29816,1.6231709,-8.03394,40.12784,-11.677762
2025-01-03,05:00,1.8242998,-0.903718,76.059006,99516.56,9.313226e-10,1411.3127,14024.375,53966.45,251.83318,276.63867,275.5589,0.20049953,-9.807641,37.730865,-11.054854
2025-01-03,06:00,1.8250799,-0.984931,85.09839,99530.625,0.0,1411.3127,14036.382,53917.688,251.40923,276.10718,275.49396,0.21368122,-11.246285,34.342422,-11.174252
2025-01-03,07:00,1.8266516,-1.0828533,91.134415,99566.31,0.0,1411.3127,14060.711,53890.633,250.83931,275.8286,275.15173,0.96514034,-11.412333,30.08786,-11.34785
2025-01-03,08:00,2.0101695,-1.413003,111.14554,99638.44,1.7462298e-10,1411.3127,14107.611,53878.203,249.98866,276.08325,274.82953,1.2498369,-10.586434,25.488922,-10.98899
2025-01-03,09:00,1.688108,-1.7902403,166.6396,99716.56,2.6193447e-10,1411.3127,14164.962,53886.527,248.95938,278.90796,274.77655,1.0421114,-9.197311,21.874695,-10.418066
2025-01-03,10:00,1.1672078,-1.457696,208.2754,99746.625,0.0,1411.3127,14248.702,53897.66,248.10469,281.38525,274.93677,1.6470852,-6.785121,19.016518,-11.596496
2025-01-03,11:00,1.0580316,-1.6758204,359.60233,99714.375,0.0,1411.3127,14226.121,53882.41,247.53044,282.71948,274.8423,1.1536617,-5.1453466,17.27364,-11.95239
2025-01-03,12:00,1.256562,-2.066327,516.70917,99681.625,0.0,1411.3127,14197.816,53872.336,247.95015,283.4873,274.9032,1.3664923,-4.7895603,15.914595,-13.976148
2025-01-03,13:00,1.0076058,-1.7658138,582.1852,99691.625,0.0,1411.3127,14202.722,53922.12,248.11108,284.52856,274.96274,0.9324627,-4.1570015,14.9441395,-16.457169
2025-01-03,14:00,0.31814182,-1.2525921,344.9428,99679.5,0.0,1411.3127,14186.95,53951.453,248.58209,284.54932,274.89832,0.32887363,-3.6787663,13.33202,-19.741455
2025-01-03,15:00,-0.65275574,-0.6787529,182.5884,99737.31,0.0,1411.3127,14221.892,54044.11,249.68317,283.41284,274.69193,-0.620451,-2.9485588,10.606127,-21.083282
