Datetime,HS,ES
21/04/2025 16:00,5.067712171,4.6352907
21/04/2025 17:00,5.147266951,4.655543935
21/04/2025 18:00,5.242449642,4.629464637
21/04/2025 19:00,5.219906097,4.643926491
21/04/2025 20:00,5.152911337,4.649190049
21/04/2025 21:00,5.33339061,5.066438081
21/04/2025 22:00,5.246456869,5.163263765
21/04/2025 23:00,5.237034384,5.163857705
22/04/2025 04:00,5.242901233,5.163477051
22/04/2025 05:00,5.250265856,5.153290031
22/04/2025 06:00,5.234684306,4.996379169
22/04/2025 07:00,5.253109447,4.572951275
22/04/2025 08:00,5.246418061,4.635090726
22/04/2025 09:00,5.245074343,4.632289262
22/04/2025 10:00,5.228051675,4.63652304
22/04/2025 11:00,5.202088694,4.686090836
22/04/2025 12:00,5.147731369,4.668290262
22/04/2025 13:00,5.080935853,4.65868294
22/04/2025 14:00,5.009793953,4.587474234
28/04/2025 11:00,5.183508958,4.571715139
28/04/2025 12:00,5.132966821,4.572407287
28/04/2025 13:00,5.107286573,4.551199669
28/04/2025 14:00,5.082300274,4.54809078
28/04/2025 15:00,5.037815616,4.526824137
28/04/2025 16:00,5.070637768,4.578753789
28/04/2025 17:00,5.067863775,4.667449071
28/04/2025 18:00,5.119920241,4.568036004
28/04/2025 19:00,5.150260113,4.526910521
28/04/2025 20:00,5.248677126,4.539286786
28/04/2025 21:00,5.251444049,5.047484687
28/04/2025 22:00,5.104122478,5.147348125
28/04/2025 23:00,5.112195437,5.148807321
29/04/2025 04:00,5.070199874,5.149671861
29/04/2025 05:00,5.073956597,5.144282573
29/04/2025 06:00,5.015824892,4.663512809
29/04/2025 07:00,5.117874517,4.562120411
29/04/2025 08:00,5.211261191,4.55331344
29/04/2025 09:00,5.19578649,4.551742975
29/04/2025 10:00,5.163567908,4.548293476
29/04/2025 17:00,5.120631149,4.576779453
29/04/2025 18:00,5.13856463,4.551375576
29/04/2025 19:00,5.102948543,4.586701921
29/04/2025 20:00,5.18270433,4.610009842
29/04/2025 21:00,5.288953684,5.032412331
29/04/2025 22:00,5.155125311,5.147555587
29/04/2025 23:00,5.133403043,5.148302005
30/04/2025 04:00,5.085737615,5.156107295
30/04/2025 05:00,5.055664229,5.147888682
30/04/2025 06:00,4.996341071,4.638233237
30/04/2025 07:00,5.123453352,4.55670886
30/04/2025 08:00,5.201784423,4.550350155
30/04/2025 09:00,5.190081935,4.55620212
30/04/2025 10:00,5.166499145,4.544099245
30/04/2025 11:00,5.151578122,4.541808649
30/04/2025 12:00,5.106734671,4.524891423
30/04/2025 13:00,5.051735572,4.523886107
30/04/2025 14:00,5.05411925,4.535680756
30/04/2025 15:00,5.045833246,4.521443722
30/04/2025 16:00,5.046110582,4.556999359
13/05/2025 15:00,4.979139414,4.730645764
13/05/2025 16:00,5.010217328,4.743618304
13/05/2025 17:00,5.097199164,4.790687471
13/05/2025 18:00,5.069687689,4.750266117
13/05/2025 19:00,5.105248653,4.782159879
13/05/2025 20:00,5.227086307,4.698277441
13/05/2025 21:00,5.005425457,5.012827503
13/05/2025 23:00,4.930399209,5.176994401
14/05/2025 04:00,5.052949215,5.15852493
14/05/2025 05:00,5.17331563,5.128171197
14/05/2025 06:00,5.100135201,4.811713978
14/05/2025 07:00,4.93359115,4.663522415
14/05/2025 08:00,5.026211373,4.60503385
14/05/2025 09:00,5.033011239,4.592788908
14/05/2025 10:00,4.932344248,4.60631913
14/05/2025 11:00,4.931495122,4.604488915
14/05/2025 12:00,5.05355539,4.631830329
14/05/2025 13:00,5.062342582,4.651199536
14/05/2025 14:00,5.011542792,4.666509438
14/05/2025 15:00,4.96194041,4.634073275
14/05/2025 16:00,5.050316599,4.687082655
14/05/2025 17:00,5.041319187,4.62982413
14/05/2025 18:00,5.112235219,4.606489177
14/05/2025 19:00,5.164877834,4.546922272
14/05/2025 20:00,5.218291874,4.559976845
14/05/2025 21:00,5.11882344,4.583412979
14/05/2025 22:00,5.107462806,5.140996495
14/05/2025 23:00,5.06036358,5.138159854
15/05/2025 04:00,5.091731159,5.135213053
15/05/2025 05:00,5.248615767,5.076097734
15/05/2025 06:00,5.147837699,4.562595495
15/05/2025 07:00,5.192088509,4.561381201
15/05/2025 08:00,5.23711677,4.556532971
15/05/2025 09:00,5.244809293,4.557881403
15/05/2025 10:00,5.223421901,4.554335188
15/05/2025 11:00,5.204007802,4.564331055
15/05/2025 12:00,5.18074973,4.632581348
15/05/2025 13:00,5.143934449,4.558097173
15/05/2025 14:00,5.099805649,4.532993961
18/05/2025 14:00,5.189446324,4.755671084
18/05/2025 15:00,5.186268333,4.858827743
18/05/2025 16:00,5.167387498,4.749149279
18/05/2025 17:00,5.198071168,4.595049029
18/05/2025 18:00,5.175295604,4.594887823
18/05/2025 19:00,5.129082396,4.574724875
18/05/2025 20:00,5.057759073,4.616680136
18/05/2025 21:00,5.123711482,4.618878809
18/05/2025 22:00,5.208427395,5.156185528
18/05/2025 23:00,5.168008477,5.171520489
19/05/2025 04:00,5.120050705,5.153601846
19/05/2025 05:00,5.224108017,5.082060695
19/05/2025 06:00,5.066706923,4.683249124
19/05/2025 07:00,5.165652241,4.770824107
19/05/2025 08:00,5.186312604,4.651923869
19/05/2025 09:00,5.227328611,4.642025316
19/05/2025 10:00,5.145961509,4.70812834
19/05/2025 11:00,5.078827277,4.786965024
19/05/2025 12:00,5.031680335,4.809414554
19/05/2025 13:00,5.014432565,4.777212637
20/05/2025 17:00,5.02475532,4.607115115
20/05/2025 18:00,4.903627205,4.62556565
20/05/2025 19:00,4.130945834,4.564549542
20/05/2025 20:00,5.110224352,4.618433065
20/05/2025 21:00,4.986432295,4.794972279
20/05/2025 22:00,5.000197984,5.161398048
20/05/2025 23:00,5.039913212,5.171502853
21/05/2025 04:00,5.012263155,5.155545413
21/05/2025 05:00,5.279051536,5.068836188
21/05/2025 06:00,5.122442455,4.629067301
21/05/2025 07:00,5.056677546,4.687190366
21/05/2025 08:00,5.163450924,4.606925115
21/05/2025 09:00,5.196626498,4.632891184
21/05/2025 10:00,5.032930469,4.612823005
21/05/2025 11:00,5.03245046,4.602529264
21/05/2025 12:00,5.02368717,4.630325708
21/05/2025 13:00,5.060566793,4.694208914
21/05/2025 14:00,5.085320105,4.668277493
21/05/2025 15:00,4.977763091,4.718322495
27/05/2025 17:00,5.192678046,4.802102192
27/05/2025 18:00,5.200037922,4.7762607
27/05/2025 19:00,5.1860428,4.701907581
27/05/2025 20:00,5.050329996,4.610903775
27/05/2025 21:00,4.974641539,4.599854404
27/05/2025 22:00,5.247370968,5.087237705
27/05/2025 23:00,5.116167142,5.155528893
28/05/2025 04:00,5.022061722,5.14969461
28/05/2025 05:00,5.250378161,5.073499413
28/05/2025 06:00,5.050868706,4.579258995
28/05/2025 07:00,5.133897434,4.559581384
28/05/2025 08:00,5.094721709,4.585426379
28/05/2025 09:00,5.007396106,4.580254842
28/05/2025 10:00,5.005796308,4.594959058
28/05/2025 11:00,4.956869004,4.608424954
28/05/2025 12:00,4.976533286,4.628679483
28/05/2025 13:00,4.87199098,4.591824606
28/05/2025 14:00,4.928575489,4.557618767
28/05/2025 15:00,4.917607262,4.606623666
28/05/2025 16:00,4.877836788,4.615144057
08/06/2025 17:00,4.925010451,4.548715061
08/06/2025 18:00,4.943481537,4.549625321
08/06/2025 19:00,4.991721344,4.531757621
08/06/2025 20:00,5.08229019,4.543075026
08/06/2025 21:00,4.951026101,4.541554436
08/06/2025 22:00,5.11773316,5.090011711
08/06/2025 23:00,4.988227065,5.172636242
09/06/2025 04:00,4.883635613,5.189040538
09/06/2025 05:00,5.125944232,5.075596899
09/06/2025 06:00,4.906004296,4.518299438
09/06/2025 07:00,4.977547285,4.525812076
09/06/2025 08:00,5.03994721,4.548570278
09/06/2025 09:00,5.015709678,4.55033068
09/06/2025 10:00,4.938759369,4.58657374
09/06/2025 11:00,4.894559719,4.545125519
09/06/2025 12:00,4.874046774,4.537520021
09/06/2025 13:00,4.838073659,4.556754183
09/06/2025 14:00,4.796077349,4.553734656
09/06/2025 15:00,4.78810029,4.547770165
09/06/2025 16:00,4.837709404,4.588017257
11/06/2025 17:00,4.906491178,4.545414724
11/06/2025 18:00,4.941052854,4.555199601
11/06/2025 19:00,4.97020126,4.539088342
11/06/2025 20:00,5.059373376,4.541270186
11/06/2025 21:00,4.966456547,4.532652006
11/06/2025 22:00,5.132661298,5.073937155
11/06/2025 23:00,4.941540681,5.160722431
12/06/2025 04:00,4.885155719,5.183000109
12/06/2025 05:00,5.093805911,5.068450459
12/06/2025 06:00,4.923608827,4.524124
12/06/2025 07:00,5.006636471,4.532588735
12/06/2025 08:00,5.054547449,4.545189245
12/06/2025 09:00,4.989179013,4.54683584
12/06/2025 10:00,5.0036635,4.533216828
12/06/2025 11:00,4.898178514,4.5461802
12/06/2025 12:00,4.902726995,4.528028914
12/06/2025 13:00,4.897555693,4.518959626
12/06/2025 14:00,4.867098433,4.508718732
12/06/2025 15:00,4.86518292,4.51774672
18/06/2025 16:00,4.981519711,4.629456004
18/06/2025 17:00,5.031295155,4.695479959
18/06/2025 18:00,5.051678936,4.67773096
18/06/2025 19:00,5.097889561,4.685920798
18/06/2025 20:00,5.199157642,4.630895696
18/06/2025 21:00,5.156576388,4.622637163
18/06/2025 22:00,5.213536006,5.073648529
18/06/2025 23:00,5.09615123,5.156285819
19/06/2025 04:00,5.062138939,5.152300078
19/06/2025 05:00,5.116367073,5.04291095
19/06/2025 06:00,5.096134788,4.550149123
19/06/2025 07:00,5.182344227,4.551828551
19/06/2025 08:00,5.200776125,4.546743329
19/06/2025 09:00,5.178950704,4.555192766
19/06/2025 10:00,5.138595651,4.539598278
19/06/2025 11:00,5.086118386,4.537308211
19/06/2025 12:00,5.079504575,4.533826462
19/06/2025 13:00,5.062641404,4.535745176
19/06/2025 14:00,5.084972111,4.529462487
19/06/2025 15:00,5.07153487,4.51327941
13/10/2025 15:00,5.114811636,4.535655897
13/10/2025 16:00,5.14837235,4.5976174
13/10/2025 17:00,4.915721135,4.556742859
13/10/2025 18:00,5.219284492,4.643539986
13/10/2025 19:00,5.038642587,4.748951902
13/10/2025 20:00,4.935675192,5.158962632
13/10/2025 21:00,4.933550725,5.158291156
13/10/2025 22:00,4.907567893,5.15529064
13/10/2025 23:00,4.88546371,5.156922415
14/10/2025 04:00,4.8018689,5.166513595
14/10/2025 05:00,4.823768219,5.167490697
14/10/2025 06:00,4.826252067,5.161297071
14/10/2025 07:00,4.8863799,5.115565502
14/10/2025 08:00,4.882008824,4.534927206
14/10/2025 09:00,4.853040519,4.563118506
14/10/2025 10:00,4.827983174,4.551306291
14/10/2025 11:00,4.87813766,4.545795188
14/10/2025 12:00,4.929884552,4.568479658
14/10/2025 13:00,4.896301929,4.562042491
14/10/2025 14:00,4.977011477,4.626440714
15/10/2025 19:00,5.22816535,4.736386011
15/10/2025 20:00,5.036240659,5.155293468
15/10/2025 21:00,5.083930819,5.156594532
15/10/2025 22:00,5.10314497,5.146509292
15/10/2025 23:00,5.097254027,5.150041816
16/10/2025 04:00,5.101091657,5.165390904
16/10/2025 05:00,5.075653456,5.158376275
16/10/2025 06:00,5.079363859,5.159667643
16/10/2025 07:00,5.164251819,5.083331172
16/10/2025 08:00,5.106097196,4.638558872
16/10/2025 09:00,4.946685727,4.65268702
16/10/2025 10:00,4.992990024,4.606837255
16/10/2025 11:00,5.069383848,4.635163256
16/10/2025 12:00,4.918968842,4.606243759
16/10/2025 13:00,5.005654463,4.6152451
16/10/2025 14:00,5.037427737,4.501826829
16/10/2025 15:00,5.081627676,4.483959944
16/10/2025 16:00,5.042088065,4.468491297
16/10/2025 17:00,4.991598966,4.472161133
16/10/2025 18:00,5.327615481,4.568337785
19/10/2025 16:00,4.886771102,4.561107145
19/10/2025 17:00,4.89325648,4.570529638
19/10/2025 18:00,4.982773195,4.581068586
19/10/2025 19:00,5.183559146,5.067962364
19/10/2025 20:00,5.048855954,5.148327055
19/10/2025 21:00,5.018487721,5.14422564
19/10/2025 22:00,5.001777506,5.152971772
19/10/2025 23:00,4.963063536,5.165347846
20/10/2025 04:00,4.915217334,5.164812718
20/10/2025 05:00,4.928913823,5.143925835
20/10/2025 06:00,4.923376225,5.15338229
20/10/2025 07:00,4.893657392,5.146684299
20/10/2025 08:00,4.865904423,4.616989973
20/10/2025 09:00,4.852857556,4.558082609
20/10/2025 10:00,4.851475365,4.556433806
20/10/2025 11:00,4.759027036,4.558688966
20/10/2025 12:00,4.744397435,4.527681249
20/10/2025 13:00,4.770602005,4.524250052
20/10/2025 14:00,4.712458414,4.514927536
20/10/2025 15:00,4.773048566,4.539551374
