Datetime,HS
29/04/2025 20:00,5.18270433
29/04/2025 21:00,5.288953684
29/04/2025 22:00,5.155125311
29/04/2025 23:00,5.133403043
30/04/2025 04:00,5.085737615
30/04/2025 05:00,5.055664229
30/04/2025 06:00,4.996341071
30/04/2025 07:00,5.123453352
30/04/2025 08:00,5.201784423
30/04/2025 09:00,5.190081935
30/04/2025 10:00,5.166499145
30/04/2025 11:00,5.151578122
30/04/2025 12:00,5.106734671
30/04/2025 13:00,5.051735572
30/04/2025 14:00,5.05411925
30/04/2025 15:00,5.045833246
30/04/2025 16:00,5.046110582
13/05/2025 15:00,4.979139414
13/05/2025 16:00,5.010217328
13/05/2025 17:00,5.097199164
13/05/2025 18:00,5.069687689
13/05/2025 19:00,5.105248653
13/05/2025 20:00,5.227086307
13/05/2025 21:00,5.005425457
13/05/2025 23:00,4.930399209
14/05/2025 04:00,5.052949215
14/05/2025 05:00,5.17331563
14/05/2025 06:00,5.100135201
14/05/2025 07:00,4.93359115
14/05/2025 08:00,5.026211373
14/05/2025 09:00,5.033011239
14/05/2025 10:00,4.932344248
14/05/2025 11:00,4.931495122
14/05/2025 12:00,5.05355539
14/05/2025 13:00,5.062342582
14/05/2025 14:00,5.011542792
14/05/2025 15:00,4.96194041
14/05/2025 16:00,5.050316599
14/05/2025 17:00,5.041319187
14/05/2025 18:00,5.112235219
14/05/2025 19:00,5.164877834
14/05/2025 20:00,5.218291874
14/05/2025 21:00,5.11882344
14/05/2025 22:00,5.107462806
14/05/2025 23:00,5.06036358
15/05/2025 04:00,5.091731159
15/05/2025 05:00,5.248615767
15/05/2025 06:00,5.147837699
15/05/2025 07:00,5.192088509
15/05/2025 08:00,5.23711677
15/05/2025 09:00,5.244809293
15/05/2025 10:00,5.223421901
15/05/2025 11:00,5.204007802
15/05/2025 12:00,5.18074973
15/05/2025 13:00,5.143934449
15/05/2025 14:00,5.099805649
18/05/2025 14:00,5.189446324
18/05/2025 15:00,5.186268333
18/05/2025 16:00,5.167387498
18/05/2025 17:00,5.198071168
18/05/2025 18:00,5.175295604
18/05/2025 19:00,5.129082396
18/05/2025 20:00,5.057759073
18/05/2025 21:00,5.123711482
18/05/2025 22:00,5.208427395
18/05/2025 23:00,5.168008477
19/05/2025 04:00,5.120050705
19/05/2025 05:00,5.224108017
19/05/2025 06:00,5.066706923
19/05/2025 07:00,5.165652241
19/05/2025 08:00,5.186312604
19/05/2025 09:00,5.227328611
19/05/2025 10:00,5.145961509
19/05/2025 11:00,5.078827277
19/05/2025 12:00,5.031680335
19/05/2025 13:00,5.014432565
20/05/2025 17:00,5.02475532
20/05/2025 18:00,4.903627205
20/05/2025 19:00,4.130945834
20/05/2025 20:00,5.110224352
20/05/2025 21:00,4.986432295
20/05/2025 22:00,5.000197984
20/05/2025 23:00,5.039913212
21/05/2025 04:00,5.012263155
21/05/2025 05:00,5.279051536
21/05/2025 06:00,5.122442455
21/05/2025 07:00,5.056677546
21/05/2025 08:00,5.163450924
21/05/2025 09:00,5.196626498
21/05/2025 10:00,5.032930469
21/05/2025 11:00,5.03245046
21/05/2025 12:00,5.02368717
21/05/2025 13:00,5.060566793
21/05/2025 14:00,5.085320105
21/05/2025 15:00,4.977763091
27/05/2025 17:00,5.192678046
27/05/2025 18:00,5.200037922
27/05/2025 19:00,5.1860428
27/05/2025 20:00,5.050329996
27/05/2025 21:00,4.974641539
27/05/2025 22:00,5.247370968
27/05/2025 23:00,5.116167142
28/05/2025 04:00,5.022061722
28/05/2025 05:00,5.250378161
28/05/2025 06:00,5.050868706
28/05/2025 07:00,5.133897434
28/05/2025 08:00,5.094721709
28/05/2025 09:00,5.007396106
28/05/2025 10:00,5.005796308
28/05/2025 11:00,4.956869004
28/05/2025 12:00,4.976533286
28/05/2025 13:00,4.87199098
28/05/2025 14:00,4.928575489
28/05/2025 15:00,4.917607262
28/05/2025 16:00,4.877836788
08/06/2025 17:00,4.925010451
08/06/2025 18:00,4.943481537
08/06/2025 19:00,4.991721344
08/06/2025 20:00,5.08229019
08/06/2025 21:00,4.951026101
08/06/2025 22:00,5.11773316
08/06/2025 23:00,4.988227065
09/06/2025 04:00,4.883635613
09/06/2025 05:00,5.125944232
09/06/2025 06:00,4.906004296
09/06/2025 07:00,4.977547285
09/06/2025 08:00,5.03994721
09/06/2025 09:00,5.015709678
09/06/2025 10:00,4.938759369
09/06/2025 11:00,4.894559719
09/06/2025 12:00,4.874046774
09/06/2025 13:00,4.838073659
09/06/2025 14:00,4.796077349
09/06/2025 15:00,4.78810029
09/06/2025 16:00,4.837709404
11/06/2025 17:00,4.906491178
11/06/2025 18:00,4.941052854
11/06/2025 19:00,4.97020126
11/06/2025 20:00,5.059373376
11/06/2025 21:00,4.966456547
11/06/2025 22:00,5.132661298
11/06/2025 23:00,4.941540681
12/06/2025 04:00,4.885155719
12/06/2025 05:00,5.093805911
12/06/2025 06:00,4.923608827
12/06/2025 07:00,5.006636471
12/06/2025 08:00,5.054547449
12/06/2025 09:00,4.989179013
12/06/2025 10:00,5.0036635
12/06/2025 11:00,4.898178514
12/06/2025 12:00,4.902726995
12/06/2025 13:00,4.897555693
12/06/2025 14:00,4.867098433
12/06/2025 15:00,4.86518292
18/06/2025 16:00,4.981519711
18/06/2025 17:00,5.031295155
18/06/2025 18:00,5.051678936
18/06/2025 19:00,5.097889561
18/06/2025 20:00,5.199157642
18/06/2025 21:00,5.156576388
18/06/2025 22:00,5.213536006
18/06/2025 23:00,5.09615123
19/06/2025 04:00,5.062138939
19/06/2025 05:00,5.116367073
19/06/2025 06:00,5.096134788
19/06/2025 07:00,5.182344227
19/06/2025 08:00,5.200776125
19/06/2025 09:00,5.178950704
19/06/2025 10:00,5.138595651
19/06/2025 11:00,5.086118386
19/06/2025 12:00,5.079504575
19/06/2025 13:00,5.062641404
19/06/2025 14:00,5.084972111
19/06/2025 15:00,5.07153487
13/10/2025 15:00,5.114811636
13/10/2025 16:00,5.14837235
13/10/2025 17:00,4.915721135
13/10/2025 18:00,5.219284492
13/10/2025 19:00,5.038642587
13/10/2025 20:00,4.935675192
13/10/2025 21:00,4.933550725
13/10/2025 22:00,4.907567893
13/10/2025 23:00,4.88546371
14/10/2025 04:00,4.8018689
14/10/2025 05:00,4.823768219
14/10/2025 06:00,4.826252067
14/10/2025 07:00,4.8863799
14/10/2025 08:00,4.882008824
14/10/2025 09:00,4.853040519
14/10/2025 10:00,4.827983174
14/10/2025 11:00,4.87813766
14/10/2025 12:00,4.929884552
14/10/2025 13:00,4.896301929
14/10/2025 14:00,4.977011477
15/10/2025 19:00,5.22816535
15/10/2025 20:00,5.036240659
15/10/2025 21:00,5.083930819
15/10/2025 22:00,5.10314497
15/10/2025 23:00,5.097254027
16/10/2025 04:00,5.101091657
16/10/2025 05:00,5.075653456
16/10/2025 06:00,5.079363859
16/10/2025 07:00,5.164251819
16/10/2025 08:00,5.106097196
16/10/2025 09:00,4.946685727
16/10/2025 10:00,4.992990024
16/10/2025 11:00,5.069383848
16/10/2025 12:00,4.918968842
16/10/2025 13:00,5.005654463
16/10/2025 14:00,5.037427737
16/10/2025 15:00,5.081627676
16/10/2025 16:00,5.042088065
16/10/2025 17:00,4.991598966
16/10/2025 18:00,5.327615481
19/10/2025 16:00,4.886771102
19/10/2025 17:00,4.89325648
19/10/2025 18:00,4.982773195
19/10/2025 19:00,5.183559146
19/10/2025 20:00,5.048855954
19/10/2025 21:00,5.018487721
19/10/2025 22:00,5.001777506
19/10/2025 23:00,4.963063536
20/10/2025 04:00,4.915217334
20/10/2025 05:00,4.928913823
20/10/2025 06:00,4.923376225
20/10/2025 07:00,4.893657392
20/10/2025 08:00,4.865904423
20/10/2025 09:00,4.852857556
20/10/2025 10:00,4.851475365
20/10/2025 11:00,4.759027036
20/10/2025 12:00,4.744397435
20/10/2025 13:00,4.770602005
20/10/2025 14:00,4.712458414
20/10/2025 15:00,4.773048566
