Date,Hour,R_S_M,G_S_M,B_S_M,R_G_M,G_G_M,B_G_M,PM25,T2M,U_10,V_10,TP,SP,GP,BLH,T_500,U_500,V_500,GP_500,T_850,U_850,V_850,GP_850
06/02/2025,08:00,146.8778537,179.4517272,205.6244416,39.97481875,50.35904167,64.29308646,75.785034,274.2567,0.0771687,-0.6049795,5.24E-10,101611.06,1411.3127,50.782394,251.08264,3.6191683,0.025505066,56020.01,275.22455,-3.01966,1.7201144,15658.376
06/02/2025,09:00,134.9778513,172.2178513,203.2116134,49.62902604,58.90087604,66.86103542,87.300331,276.25134,-0.1046198,-0.5072231,0,101625.56,1411.3127,72.42337,251.12161,3.8782177,0.11692965,56001.516,274.84296,-3.2849874,1.5413258,15655.056
06/02/2025,10:00,133.8582934,169.8152229,201.1000642,48.52731042,60.16630521,71.09480938,93.111267,278.12378,0.11576676,-0.6584034,0,101557,1411.3127,129.00497,251.14818,4.6263037,1.3440504,55974.656,275.28125,-0.5259733,0.65013194,15622.226
06/02/2025,11:00,130.6779058,166.2702095,198.2670797,43.11116354,54.53451354,64.28552708,69.243103,280.38635,-0.3953638,0.1968922,0,101503.31,1411.3127,182.7497,251.06711,5.5521603,1.6777122,55917.305,275.13068,-1.0730305,0.31948948,15584.617
06/02/2025,13:00,136.8448074,174.7532582,205.9288142,42.56926875,47.2337125,57.07964688,45.92757,282.76746,-1.2535486,1.6234018,0,101335.94,1411.3127,383.86865,251.00452,7.9419746,-0.11466664,55793.812,275.06567,-3.0735636,1.2198545,15457.898
06/02/2025,14:00,149.4425109,185.1486143,216.1112282,38.67862083,47.59731563,57.78422917,52.187408,283.03406,-1.5227413,1.1927967,0,101277.44,1411.3127,491.1709,250.93805,8.134769,0.3044337,55720.67,274.72992,-3.6240559,1.5494125,15409.13
06/02/2025,15:00,145.6188542,182.4748668,212.0435889,38.60554583,44.40552917,54.08735521,44.432262,282.97534,-1.6658173,0.49280357,0,101248.81,1411.3127,489.81702,250.83345,8.503464,0.75089103,55653.89,274.4167,-3.9521027,1.6453083,15383.359
09/02/2025,17:00,127.8234242,162.3224188,195.4375787,46.74352292,60.74134167,73.811025,26.31526,279.7727,0.36109293,-0.06229186,0.000352548,101059.19,1411.3127,27.854332,248.41858,4.975297,8.124926,55096.28,273.55304,-2.0288363,3.5558429,15179.917
09/02/2025,18:00,99.14545664,134.9381093,169.9569707,58.8758875,66.59729479,60.90443646,19.873711,279.81604,0.29992235,0.001666069,0.000190901,101062.5,1411.3127,23.835571,248.73999,5.3573694,6.0540676,55107.777,273.64694,-1.8399105,3.2035112,15186.895
09/02/2025,19:00,91.82126211,111.574025,129.5677955,60.78224167,76.75542188,81.18379375,23.041698,279.6593,0.56078684,0.17263341,0.00014017,101089.5,1411.3127,30.931885,248.83218,5.3504467,4.1407194,55123.9,273.72662,-1.6649637,3.2108865,15210.84
