time,R_roi,G_roi,B_roi,R_std,G_std,B_std,S_mean,V_mean,colorfulness,sky_brightness,contrast,gray_entropy,laplacian_variance,mean_gradient_magnitude,local_contrast,B_R_ratio,dark_pixel_ratio,sky_luminance_gradient,image_path,PM25,Unit,T2M,D2M,RH,U10,V10,SP,TP,BLH,TCC,CBH,WS10,GP_500,GP_850,T_500,T_850,U_500,U_850,V_500,V_850,temperature_mean,wind_direction_mean,relative_humidity_mean,wind_speed_mean,wind_gust_max
2026-03-13 09:00:00,134.38052120592744,163.9838937148697,186.85357179356157,40.804846149993814,42.80980546808851,43.15693338383962,0.2978090774300834,0.7327601871612212,23.05110034362237,0.8470660775296324,42.14599940517226,6.351528695345376,931.455956333265,4.20865913303986,8.64571571982336,1.3904810662011222,0.0115993868165559,-5.924880446243193,data/raw/images/20260313-1000.jpg,34.011528,ug.m-3,286.02573,282.02405,76.65244428744134,-0.14549255,0.8515625,100406.36,0.0,476.07864,0.15341187,377.12555,0.8639020624536976,54975.797,14728.48,249.89458,275.5603,-1.1815033,1.1377716,-6.6843414,0.60072327,12.9,1.0,73.4,,1.5
2026-03-13 10:00:00,137.01254982115483,165.988788962698,188.28995912110372,44.0288419416957,45.09333733562313,43.87591594891232,0.2928817091062657,0.7383921167853957,22.634103364550853,0.8557651868105447,44.536032289595234,6.377027504886387,866.759856989637,4.013133091576697,8.92581825618581,1.3742533657875058,0.0111088400613183,-5.4176752859782145,data/raw/images/20260313-1100.jpg,33.79797,ug.m-3,287.7495,280.493,61.763632091947386,-0.5830078,0.67622375,100312.56,9.536743e-07,605.8414,0.34735107,632.83405,0.8928474981344252,54960.992,14682.16,250.49934,275.65787,0.4934845,2.1401367,-5.619232,0.420578,13.9,225.0,69.0,0.6,2.6
2026-03-13 11:00:00,132.86914154317833,162.1362749105774,184.61815533980584,43.34929325351039,43.80728075486382,42.224572547232654,0.3015690243712212,0.7239927660384543,22.64367919596181,0.8372125001252418,43.392631527868694,6.450903908965929,594.160077744885,3.4792300950389787,8.368996366970526,1.3894735211361111,0.008083801737353,-4.695483677816293,data/raw/images/20260313-1200.jpg,39.10796,ug.m-3,289.03644,280.83252,58.197628139272695,-0.88635254,1.5665131,100242.08,2.3841858e-06,748.99774,0.42764282,872.5349,1.799884473413797,54936.86,14638.871,250.39139,275.9601,1.950943,2.8677979,-4.257202,2.1779633,14.7,207.0,63.6,0.6,2.5
2026-03-13 12:00:00,123.72648952478283,150.38321921308125,170.99801226366887,56.442556980701106,57.86112141979746,56.24950222804886,0.3255046750490137,0.670581722724859,22.269244876697872,0.8220661877423429,57.163658692681025,6.53314551559127,848.6761117429329,3.929403688501164,10.151290905419186,1.3820646778097807,0.1156668369954011,0.2125446364911183,data/raw/images/20260313-1300.jpg,36.39627,ug.m-3,289.86713,280.38104,53.52336740430584,-0.67066956,1.3990173,100153.445,1.001358e-05,1003.8347,0.4239807,1130.2256,1.551466101598705,54899.434,14577.531,250.36206,276.15344,4.231827,2.835495,-3.3839417,3.0536652,15.2,157.0,64.4,0.6,2.4
2026-03-13 13:00:00,132.52892181911088,162.84977516607051,187.01853857945835,51.191085673581675,52.90258334117717,52.28624815622788,0.3203647921615817,0.733406033644935,23.339520623964265,0.8679665354133479,52.2355676300566,7.315602011099469,587.1268205304854,3.4791914248239855,8.88082158550269,1.4111526344684815,0.0209555442003065,-9.54520372318962,data/raw/images/20260313-1400.jpg,46.58565,ug.m-3,290.3191,279.91113,50.36405451033479,-0.5518646,1.1625519,100067.266,1.7642975e-05,1059.921,0.4392395,1238.9333,1.2868882845557226,54852.18,14522.074,250.65042,276.1199,5.9634857,1.8531952,-2.5188751,2.8879547,16.3,212.0,58.3,0.8,3.2
2026-03-13 14:00:00,113.83819110884006,141.37678589678077,164.38345937659682,44.6130204659218,49.55806708267093,50.1709709014657,0.3308831082613926,0.6446410171631247,24.652340730660686,0.770085705411444,48.03740519576015,7.247242051658333,795.9340085878487,3.931306305743054,9.21084178987931,1.4440097504309513,0.0552427184466019,3.425664947898393,data/raw/images/20260313-1500.jpg,42.585007,ug.m-3,290.57462,279.65796,48.70254600737846,-0.6465759,1.1206818,99973.75,1.5735626e-05,828.44556,0.46600342,1239.1437,1.2938269170611847,54782.65,14460.48,250.84799,275.99097,6.724411,1.7102356,-1.2447968,3.0034485,17.4,182.0,52.0,1.0,4.2
2026-03-13 15:00:00,84.80155850792029,110.33216658150228,134.51451711803782,34.960637660288405,39.45825310276893,44.32621891125109,0.3880508934626578,0.527581472241426,27.966072398357007,0.6372658831544882,38.450534599191776,7.041343828590208,1046.8357495708635,4.606152860131893,9.479652432993424,1.5862269267049791,0.133530914665304,7.659539105426559,data/raw/images/20260313-1600.jpg,39.625145,ug.m-3,290.73813,279.67142,48.24728014227045,-0.87316895,1.052185,99926.81,0.0,749.3887,0.6260376,1565.5807,1.367302925276291,54743.598,14429.496,250.91626,276.25125,7.296036,2.0329742,-0.1715393,3.3532867,18.4,142.0,46.8,1.4,3.6
2026-03-13 16:00:00,79.32765457332653,104.95183955033214,129.8392743995912,35.09682221590474,40.07455743666189,46.02927089289878,0.4084729023205974,0.5093521496488222,30.92862264960552,0.62869754626429,38.95142520751588,6.993784872284159,1669.2904505497802,5.672354440595544,11.077963491896105,1.636746648583031,0.175574859478794,5.740801495397221,data/raw/images/20260313-1700.jpg,33.799408,ug.m-3,290.1461,280.62903,53.48332197903366,-1.055893,0.6091156,99847.17,0.0,363.78387,0.69696045,1711.3064,1.2189880399792117,54685.812,14365.75,251.17804,276.4218,8.136063,1.9643402,-0.11767578,3.9746704,17.9,152.0,46.5,0.8,3.5
2026-03-13 17:00:00,96.42328564128768,127.98665304036793,159.5309555442003,43.960786242612166,49.5746872138829,51.4782319748114,0.4303210568771154,0.6256167803861452,31.649731996672664,0.7700583325818832,47.90560547979392,7.205245211144224,1379.134667636331,5.538343091066414,11.04907930663709,1.65448576895833,0.117787429739397,-20.66969284742357,data/raw/images/20260313-1800.jpg,24.526978,ug.m-3,289.10858,281.24323,59.57153191303812,-1.3834534,0.19761658,99794.766,0.0,144.74615,0.5770569,1218.7108,1.39749619772737,54639.695,14322.066,251.34198,276.58716,8.648132,2.387848,0.32066345,4.729538,16.7,149.0,46.7,0.8,2.8
2026-03-13 18:00:00,78.00387327542157,98.8747572815534,116.96388349514564,32.53318553073141,32.515167036071055,40.34170556144414,0.3613704596004877,0.4712991874317432,41.88813844537266,0.5455499914835632,31.7441696015733,6.744377783456846,3144.9998249234236,10.959724812168114,17.905580922462075,1.4994624892881774,0.0837966274910577,4.938369345429492,data/raw/images/20260313-1900.jpg,19.039099,ug.m-3,287.13623,280.85205,65.85683778204353,-1.6996307,-0.15148926,99780.74,0.0,86.59736,0.6154785,1090.6222,1.7063685159653634,54612.844,14309.152,251.3397,276.6635,9.253494,2.5645142,0.7809143,4.868973,15.7,137.0,52.5,1.2,3.5
