Repeat,Test samples per season,Overall MAE,Overall RMSE,Overall R2,Macro MAE,Macro RMSE,Macro R2,Autumn MAE,Autumn RMSE,Autumn R2,Spring MAE,Spring RMSE,Spring R2,Summer MAE,Summer RMSE,Summer R2,Winter MAE,Winter RMSE,Winter R2
11,16,6.228732408751147,8.23876037458453,0.6466291284100697,6.228732408751147,7.469443036661792,-0.2589119644070502,9.511854198803524,10.890528118697306,0.3436635015573263,3.1895577662727512,3.9534141944950147,0.7527164369579893,3.173171750677276,4.033555632122482,-0.04200928034289442,9.040345919251035,11.000274201332369,-2.090018515800622
12,21,6.16711997938423,8.674813758448654,0.3960405129989524,6.167119979384228,7.251793915102082,-0.560429681245898,13.270290652088457,15.29061569820241,-2.292193623328971,2.455539937122739,3.082044176320959,0.20134653594103036,3.8982704379493796,4.555290951384618,-0.13983669545870692,5.044378890376341,6.0792248345003435,-0.011034942136944448
13,20,8.641159802425989,10.732135436601396,0.2766361072921445,8.641159802425989,10.170308152477352,-0.6257065558984138,9.646644044572582,11.94285883681278,-0.22933706467705717,10.581936070515729,12.46614589760996,-0.791437491297289,3.7411239343548486,4.244741855443554,-0.2305759822543878,10.594935160260789,12.027486020043115,-1.2514756853649214
14,17,10.724999136733885,15.896504055955548,-0.6800651005839222,10.724999136733883,12.980720152951736,-3.0590784389802375,12.800637322081206,14.631675109626942,-2.8856152549259897,4.2001367319366745,6.217368666266151,-0.8126312781375675,2.856611608779508,3.805292202772561,-0.15693240843891654,23.042610884138142,27.268544633141286,-8.381134814418477
15,16,6.05147753820918,9.05167117976027,0.6107791775253033,6.05147753820918,8.02813568747118,0.014961998216659889,9.518836900094016,12.651654784977417,0.11422515887191753,3.139368090051231,3.7324708370385684,0.8770735352921208,3.6694726818456607,3.9884025468388193,0.47453646031868,7.878232480845811,11.74001458102991,-1.4059871616160788
16,21,5.868959394707111,8.721840340430742,0.6051382470711479,5.868959394707112,7.55848881269749,-1.0347392886416706,10.635401772384023,14.216367975956585,-0.27165956085443455,3.3405212923721543,4.228352076917081,-3.1196143344990652,2.793634084110347,3.173874804628536,0.28288060279474736,6.70628042996192,8.615360393287759,-1.0305638620079298
17,20,8.414667946403782,11.710686929579554,0.6873916554126833,8.414667946403782,10.26809161983849,-0.9853026676329184,10.73637868988506,12.419970092979716,-3.2873805582108515,4.550408126565977,5.386364755337054,0.4278408408966402,4.093240138155993,4.754133016173839,-1.1399260149662984,14.278644831008094,18.511898614863348,0.05825506174883632
18,20,10.238305934456156,13.141067719514705,-0.3973581156532986,10.238305934456157,11.493587469459605,-4.817541154436573,13.076921410032543,15.1856407941751,-2.1082697500975898,5.275845709972606,6.597141635917564,-0.11205389027033386,3.335833444043004,4.221499269016125,0.17929921212777422,19.26462317377647,19.970068178729633,-17.229140189506143
19,20,8.925773589483331,12.716020946764932,0.059915768830416605,8.925773589483331,12.218967825604953,-1.120949078295977,12.12765148913378,13.998699721111565,-4.446610634994466,9.935189802003485,17.006833016644784,0.11171028796834281,6.104785189500264,7.955809407586844,-0.011146742667778264,7.535467877295792,9.914529157076622,-0.13774922349000707
20,13,6.84033811046627,9.438256952271225,0.7161568472482287,6.84033811046627,7.626974651326257,-5.323178086424101,6.343081148628288,7.829638278512073,-0.7586724317569629,2.588961532793477,3.1404234465196734,0.050747037017007,2.6131456377681173,2.902560336581698,0.20039470586098185,15.816164122675197,16.63527654369158,-20.785181656817432
21,15,7.747338572114311,11.034705317960205,0.4222782233659903,7.747338572114311,8.750310420755994,-0.9647706720074329,9.283769853431409,11.696919232041946,-3.0367759524294584,2.11268018684075,2.63083904324586,-0.17397842802772212,1.985366075188974,2.2861766889288875,0.32084998232200124,17.60753817299611,18.387306718807288,-0.9691782898945522
22,15,8.876926215137878,11.741204978720187,0.35505929963630534,8.876926215137878,9.83722603225242,-0.38903823203940685,11.267370460167566,13.352298306076,-0.13881596410817965,3.4032691098544925,4.054356368658709,-0.4287241061466547,2.952733270498245,3.3563119837420015,0.023339725302514935,17.884332020031206,18.585937470532965,-1.011952583205308
23,18,11.632794905407005,14.902866289640565,0.5466992680453846,11.632794905407003,13.493990779969387,-0.8787639841178815,11.34420347505572,12.672536958030355,-3.3860846645917153,8.848037338887602,9.820415851592168,0.7269758928961491,6.714667486908477,7.502634934066846,0.4039501330158076,19.62427132077622,23.98037537618818,-1.2598972977917673
24,13,6.136016285432589,7.843119641487506,0.12852087400107637,6.136016285432591,7.567565553695738,-1.5087084917707072,6.556956791890129,7.821213429871077,-0.7548897339956775,8.094451185038448,10.365820327043837,0.12480974250100385,3.429035608640173,4.55260662450722,-0.4482909351452167,6.4636215561616135,7.530621833360817,-4.956463040442939
25,17,11.461208589022863,16.455171922284926,-0.9085538977133196,11.461208589022863,13.416560377491471,-3.915426804142551,13.447323314339684,15.246279473958793,-3.2189021210243833,3.8800229546344336,4.593869608616774,0.25772658084459266,4.707727156961118,5.56765526107457,-0.25988159164083946,23.809760930156216,28.25843716631575,-12.440650084749572
26,13,6.405649067769303,9.117813896643147,0.6102584386870701,6.405649067769303,7.988439265925827,-0.34585423645862545,6.851144927632916,8.630001863415313,-1.1366005590610042,3.916751352828283,4.376033387896586,-0.11552729998567113,3.5021765545394126,4.023932480021121,0.6940235185175888,11.3525234360766,14.923789332370287,-0.8253126053054154
27,19,8.936228754135655,12.97932710171846,0.6542564093928263,8.936228754135653,10.940975849606309,-0.6931842841183921,7.590530661876078,9.707265666168643,-1.518014708443555,4.53838232538843,6.225308174179832,0.8515557498641342,4.244792341980284,5.15282257483922,-0.5383374143456545,19.37120968729782,22.67850698323754,-1.567940763548493
28,13,6.545913835889751,8.591340131643983,-0.045597148141341304,6.545913835889751,7.942309119916038,-1.9396403715002917,6.6524133404297805,8.039245382699082,-0.854095622207969,6.90856002087828,8.647722823823255,-1.4925009870988766,2.457509921443577,2.9534050394056406,0.14630407405850776,10.165172060807363,12.128863233736173,-5.5582689507528285
29,15,8.203616289104598,10.912735870647461,0.2728015768406824,8.203616289104598,9.134970192368666,-0.3996921517823542,7.2728649204002584,9.241741881312056,-1.1759477580438538,2.2037021949721822,2.7064522421231074,0.4428691015134333,5.51707315853081,5.922421402972644,0.16434375980316474,17.820824882515144,18.66926524306686,-1.030033710402161
30,20,8.463706215924685,11.134266888433109,0.4720884294915847,8.463706215924683,9.40214300981583,-1.7992752067412587,18.726230584997634,19.684274112582422,-5.118899073028987,4.708360895978863,5.378148439416742,-0.7919209164227172,4.949660925861813,5.644769436731447,-0.6820618038596271,5.470572456860423,6.901380050532715,-0.6042190336537032
